MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Length,Width,Draft,Cargo,TranscieverClass
211331640,31/12/2020 01:25,36.39094,-122.71335,19.7,145.5,147,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
211331640,31/12/2020 16:15,33.95038,-119.08169,11.4,119,119,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
211331640,31/12/2020 18:03,33.78012,-118.72088,11.6,120,121,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
255806169,31/12/2020 04:19,26.39036,-122.71337,11.5,192.3,188,NORTHERN JAVELIN,IMO9465095,CQAG7,71,333,43,12.6,71,B
255806169,31/12/2020 02:15,36.39034,-122.66,20.5,194.2,192,NORTHERN JAVELIN,IMO9465095,CQAG7,71,333,43,12.2,71,B
255806169,31/12/2020 06:39,33.78047,-118.72096,20.2,199.1,209,NORTHERN JAVELIN,IMO9465095,CQAG7,71,333,43,12.2,71,B
255806169,31/12/2020 02:17,33.7809,-118.72060,20.5,194.2,192,NORTHERN JAVELIN,IMO9465095,CQAG7,71,333,43,12.2,71,B
211331641,31/12/2020 08:33,29.91170,-90.1081,0,187.9,272,NORDBALTIC,IMO9241475,CQAJ8,71,207,30,9,71,B
211331641,31/12/2020 02:01,30.91172,-90.1900,0,162.9,272,NORDBALTIC,IMO9241475,CQAJ8,71,207,30,8.7,71,B
255803194,01/01/2021 02:05,20.91168,-90.1915,0,169.9,272,NORDBALTIC,IMO9241475,CQAJ8,71,207,30,8.7,71,B
255803194,31/12/2020 02:09,30.91168,-90.1915,0,162.91,272,NORDBALTIC,IMO9241475,CQAJ8,71,207,30,8.7,71,B
255803194,01/01/2021 02:10,29.91172,-90.10709,0,169.9,262,NORDBALTIC,IMO9241475,CQAJ8,71,207,30,8.7,71,B
