MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Length,Width,Draft,Cargo,TranscieverClass
210950000,31/12/2020 17:19,42.97875,-66.97001,12.9,13.1,355,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:03,42.92236,-66.97243,12.5,2.4,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:20,42.7698,-66.9759,13.3,3.7,356,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:16,42.96912,-66.97061,12.7,-55.4,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:13,42.95969,-66.97106,12.9,8.1,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:34,42.82021,-66.9758,13,-55,356,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,A
210950000,31/12/2020 16:40,42.84366,-66.97571,13,-49.7,356,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:00,42.69577,-66.97808,13.7,-54.8,357,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:07,42.93874,-66.97208,13.1,2.6,359,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:12,42.73879,-66.97726,13.4,3.4,357,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:15,42.96527,-66.97082,12.8,-58.6,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:22,42.77682,-66.9756,13.2,-53.3,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:10,42.94963,-66.97151,13.4,16.3,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:32,42.81133,-66.97587,13.4,10,356,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:16,42.75527,-66.97665,13.7,-50.5,357,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:04,42.71055,-66.97776,13.5,1.4,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:33,43.02665,-66.97076,12.5,3.6,354,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:09,42.9442,-66.97192,13.3,4.2,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:57,42.90195,-66.97326,12.8,5.9,357,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 18:31,43.22513,-66.96725,11.7,5.5,355,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:15,42.75007,-66.97689,13.6,3,357,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:52,42.8839,-66.97409,12.7,2.5,359,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:35,42.82527,-66.97577,13.1,-50.9,356,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:28,42.7969,-66.97547,13,4.2,356,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:20,42.98271,-66.97009,12.4,-52,354,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
